A	A	A	A	A	A	AN
a{a_a} A 0.0	Aa a, a a	Aa	Aa	Aa	Aa Aa	a )aN
a(A0)a	Aa 0 a a (a ? a * a) a, a 0	Aa	Aa	Aa Aa	Aa Aa	a a a aN
a(A0)a	Aa A a a A a a (a a a a)	Aa	Aa	Aa Aa	Aa Aa	a a a a a a a aN
a(A0)a	Aa A a a A a a (a a a a a a)	Aa	Aa	Aa Aa	Aa Aa	a a a a a a a aN
a{a} A a	Aa a a a a a a a	Aa	Aa	Aa Aa	Aa	a a a a aN
A(0)	Aa a a a A A0 (a 0=a a 0=a)	Aa	Aa		Aa	a a a A A*A A A+Aa A0 A0  a a a A a a a a 0aN
A(0)	Aa a a a a a a a a a	Aa	Aa		Aa Aa	a a a aN
a{a_a} A 0.0 0.0	Aa a, a a	Aa	Aa	Aa	Aa Aa	a )aN
a{a} A a {a}	Aa Aa a a a a a a a	Aa	Aa	Aa Aa	Aa Aa	a aN
a{a} (a_a A a) a	Aa a a a a_a a a (a a a a a a a a)	Aa	Aa	Aa Aa	Aa Aa	a a a aN
a{a} (a_a A a) a	Aa a a A a_a a a (a a a a a a a a)	Aa	Aa	Aa Aa	Aa Aa	a a a a a aN
{a}a A a {a}	Aa (a a a 0) a a a Aa a	Aa	Aa	Aa Aa	Aa Aa	a a a N
{a}A a a {a}	Aa a a a a (a>0) a a (a<0)	Aa	Aa	Aa Aa	Aa Aa	a a a a a a a a a a a a aN
{a}a A a a {a}	Aa a a a a a a	Aa	Aa	Aa Aa	Aa Aa	a a aN
{a}{a} A a	Aa a (a a 0, a 'a a a')	Aa	Aa	Aa Aa	Aa Aa	a a a )a a aN
{a}{a} A a	Aa a a a a a a	Aa	Aa	Aa Aa	Aa Aa	a a aN
{a_a}a A a a {a}	Aa a a a a a a a	Aa	Aa	Aa Aa	Aa Aa	aN
{a}{a} A a	Aa a a a a a a Aa	Aa	Aa	Aa Aa	Aa	N
{a}{a} A a	Aa/a a a a a a a a a	Aa	Aa	Aa	Aa Aa	a a aN
{a}{a} A a	Aa/a a a a a a a a a	Aa	Aa	Aa	Aa Aa	aN
{a}{a} A a	Aa a a a a (a) a a a	Aa	Aa	Aa	Aa Aa	a a a a a a )aN
{a}{a} A a_a	Aa a a a A a	Aa	Aa	Aa	Aa Aa	.a .a .a .a a++ a a aN
{a_a}{a} A a	Aa a a a, a a a	Aa	Aa	Aa Aa	Aa Aa	a a a a a )aN
{a}{a} A a	Aa a a a (a a a a a a a a 'a://')	Aa	Aa	Aa Aa	Aa Aa	a a a a a a aN
{a}{a} A a	Aa a a (a a a a=0) a a a 0 a a a a a a, a 0	Aa	Aa	Aa Aa	Aa Aa	a a )aN
{a}{a} A a	Aa a a a a a a a a a	Aa	Aa	Aa	Aa Aa	a a a a aN
{a}{a} A a	Aa a a a a a a a a	Aa	Aa	Aa	Aa Aa	a a a a a a a aN
{a}A a {a}	Aa a a a (a a a a a a {a})	Aa	Aa	Aa Aa	Aa Aa	a a a a a a a a aN
{a}a A a {a_a}	Aa a a a a a a	Aa	Aa	Aa Aa	Aa Aa	N
{a}a A a {a}	Aa a a a a a a a	Aa	Aa	Aa Aa	Aa Aa	a aN
{a}a A a {0}	Aa a a a	Aa	Aa	Aa Aa	Aa Aa	a a aN
{a}a A a {a}	Aa a-a a	Aa	Aa	Aa Aa	Aa Aa	a a a a a aN
{a}a A a {a}	Aa a-a a	Aa	Aa	Aa Aa	Aa Aa	aN
{a}a A a {a}	Aa-a a a	Aa	Aa	Aa Aa	Aa Aa	a a aN
{a}a A a {a}	Aa a a a	Aa	Aa	Aa Aa	Aa Aa	a aN
{a}a_a A a {a}	Aa a a a a a	Aa	Aa	Aa Aa	Aa Aa	a aN
{a}{a} A a	Aa a a a a a	Aa	Aa	Aa Aa	Aa Aa	a a aN
(0A)A	Aa A a a a A a	Aa	Aa	Aa Aa	Aa Aa	a A0A a a a a a a a a a aN
A(0A0*0)	Aa a a a a a a A0	Aa	Aa		Aa	a a a A0 0-a a aN
A(0A0*0)	Aa a a a a a a A0	Aa	Aa		Aa	a a a A0-0 0-a a aN
{a}A a/a/a/a	Aa a a a a a a a a, a, a a a a (a a a a)	Aa	Aa	Aa Aa	Aa Aa	a a a a a aN
{a}{0|0} A a	Aa a a a (a 0 a a) a	Aa	Aa	Aa	Aa Aa	a a a a a a aN
{a}{a} A a/a	Aa a a a a a	Aa	Aa	Aa	Aa Aa	a a aN
a0(A'A')a	Aa A a a A a	Aa	Aa	Aa Aa	Aa Aa	a A0A a a a a a aN
a0(A'A')a	Aa A a a A a	Aa	Aa	Aa Aa	Aa Aa	a A0A a a a a a aN
a {a}(A0)a_a	Aa A a a A a a (a a a a)	Aa	Aa	Aa Aa	Aa Aa	a a a a a a a aN
a {a}(A0)a_a	Aa A a a A a a (a a a a a a)	Aa	Aa	Aa Aa	Aa Aa	a a a a a a a aN
a{a} (a_a A a0) a	Aa a a a a-a a_a a a (a a a a a a a a)	Aa	Aa	Aa Aa	Aa Aa	a a a a a-a a aN
a{a} (a_a A a0) a	Aa a a a-a A a_a a a (a a a a a a a a)	Aa	Aa	Aa Aa	Aa Aa	a a a a a a-a a a aN
{a}a(A0)a	Aa a/a a 'a' (a ? a * a) a 'a'	Aa	Aa	Aa Aa	Aa Aa	a a a aN
{a}a(A0)a	Aa a/a a 'a' (a ? a * a) a 'a'	Aa	Aa	Aa Aa	Aa Aa	a aN
{a_a}{a} A a	Aa a a a a a a a a a a	Aa	Aa	Aa Aa	Aa	a a aN
{a/a}{a} A a/a	Aa (a a) a a a a a a a a a	Aa	Aa	Aa Aa	Aa Aa	a a a a a )a a aN
a{a}0(A0)a/a	Aa a a a 0 a a/a (a ? a * a)	Aa	Aa	Aa Aa	Aa Aa	a a a a a aN
{a}{a} A a a {a}	Aa a a a a	Aa	Aa	Aa Aa	Aa	a aN
{a}{a} A a {a}	Aa a-a a a a a a a a	Aa	Aa	Aa Aa	Aa Aa	a a a aN
{a}{a}(A0)a	Aa a (a ? a * a, a a 0, a 'a a a')	Aa	Aa	Aa Aa	Aa Aa	a a a )a a a aN
{0''}{a} A a	Aa (a a) a a a a	Aa	Aa	Aa Aa	Aa Aa	a a a a a a a a a a )a a aN
{a}{a} A a/{a}	Aa a a; a a A a	Aa	Aa	Aa Aa	Aa	a aN
a{a}{a} A a {a} {a}	Aa a a a a (a a)	Aa	Aa	Aa Aa	Aa Aa	a a a() a a a a a a a a a aN
{a}a {a} A a {a} {a}	Aa a a a a a 0:a, 0:a, 0:a (a a a a)	Aa	Aa	Aa Aa	Aa Aa	a a a aN
{a}{a} A a {a_a} {a} 	Aa a a a a a-a a a a a a	Aa	Aa	Aa Aa	Aa	a a aN
0A	Aa a a (a)	Aa	Aa Aa		Aa	a a a a a aN
+A	Aa: 0A	Aa	Aa Aa		Aa	aN
A	Aa	Aa	Aa Aa		Aa	 ^0N
?Aa	Aa Aa a a Aa	Aa	Aa Aa		Aa Aa	a a aN
=A	Aa, a a a a	Aa	Aa Aa		Aa/Aa	0a a aN
A	Aa, a a a a	Aa	Aa Aa		Aa/Aa	a a 0a a aN
A a A	Aa a a (a a a)	Aa	Aa Aa		Aa Aa	a a a aN
0+A	Aa	Aa	Aa Aa		Aa	a aN
0A	Aa a a a, a, a a a A	Aa	Aa Aa		Aa	a a a a a 0a a aN
0A	Aa a a a A	Aa	Aa Aa		Aa	a aN
0A	Aa: 0A	Aa	Aa Aa		Aa	aN
0A	Aa a A a a-a (a a a)	Aa	Aa Aa		Aa	a a aN
0A	Aa a A a a-a (a a a)	Aa	Aa Aa		Aa	a a aN
0A	Aa a a (a)	Aa	Aa Aa		Aa	a a a a a a aN
0|A	Aa a a a	Aa	Aa Aa		Aa	aN
0|A	Aa a a a a a A	Aa	Aa Aa		Aa Aa	aN
0|A	Aa a A (a A a?)	Aa	Aa Aa		Aa	aN
0<A	Aa a?	Aa	Aa Aa		Aa	aN
0A	Aa-a?	Aa	Aa Aa		Aa	a a?N
0=A	Aa?	Aa	Aa Aa		Aa	aN
0A	Aa-a?	Aa	Aa Aa		Aa	a a?N
0>A	Aa a?	Aa	Aa Aa		Aa	aN
0A	Aa-a?	Aa	Aa Aa		Aa	a a?N
0A	Aa: Aa a a a	Aa	Aa Aa		Aa	a a a a a 0a a a a aN
0A	Aa: Aa a a a	Aa	Aa Aa		Aa	a a a a a a a aN
A	Aa a a A a a a	Aa	Aa Aa		Aa	0a a aN
0*A	Aa-a	Aa	Aa Aa		Aa	a a^0 aN
0A	Aa	Aa	Aa Aa		Aa	a() a-0 a0() 0-aN
0A	a  a: (0-A*0)*.0	Aa	Aa Aa		Aa/Aa	a a a()N
0A	Aa a a a a a (a0)	Aa	Aa Aa		Aa/Aa	Aa aN
0A	Aa A	Aa	Aa Aa		Aa/Aa	a() aN
0A	Aa a A	Aa	Aa Aa		Aa/Aa	a() a a aN
0A	Aa a a A	Aa	Aa Aa		Aa/Aa	a()N
0A	Aa a A	Aa	Aa Aa		Aa/Aa	a a() a N
0A	Aa A	Aa	Aa Aa		Aa/Aa	a() aN
0A	Aa A	Aa	Aa Aa		Aa/Aa	a() aN
0A	a  a: (0+A*0)*.0	Aa	Aa Aa		Aa/Aa	a a a()N
0A	Aa a a a a a a	Aa	Aa Aa		Aa/Aa	Aa aN
0A	Aa a A	Aa	Aa Aa		Aa/Aa	a() aN
0A	Aa a A	Aa	Aa Aa		Aa/Aa	a() aN
0A	Aa a A	Aa	Aa Aa		Aa/Aa	a() aN
0A	a  a: (-0+A*0)*.0	Aa	Aa Aa		Aa/Aa	a a a()N
0A	Aa a a A	Aa	Aa Aa		Aa/Aa	a()N
0A	Aa A	Aa	Aa Aa		Aa/Aa	a a() a() a a() a^-0()N
0A	+A	Aa	Aa Aa		Aa/Aa	aN
0A	A0A0	Aa	Aa Aa		Aa/Aa	a a aN
0A	*A0A0	Aa	Aa Aa		Aa/Aa	a a a()N
0A	Aa A	Aa	Aa Aa		Aa/Aa	a a() a() a a() a^-0()N
0A	Aa A	Aa	Aa Aa		Aa/Aa	a a() a() a a() a^-0()N
0A	a  a: (A+0)((A-0)A+0)*.0	Aa	Aa Aa		Aa/Aa	a a a()N
0A	Aa a (0) a a a a	Aa	Aa Aa		Aa/Aa	Aa aN
0A	Aa a A	Aa	Aa Aa		Aa/Aa	a a a() a() a a() a a() a^-0()N
0A	Aa a A	Aa	Aa Aa		Aa/Aa	a a a() a() a a() a a() a^-0()N
0A	Aa a A	Aa	Aa Aa		Aa/Aa	a a a() a() a a() a a() a^-0()N
0A	a  -a: -(-0+A*0)*.0	Aa	Aa Aa		Aa/Aa	a a a()N
0A	A	Aa	Aa Aa		Aa/Aa	aN
/A	Aa: Aa a a-a a a a a a A	Aa	Aa Aa	Aa	Aa	a a a a a a aN
/A	Aa: Aa a a-a a a a a a A	Aa	Aa Aa	Aa	Aa	a a a a a a a 0aN
+/A	Aa a A (a-a)	Aa	Aa Aa		Aa	a a a a   a() a aN
Aa+/A	Aa a a Aa a a a A	Aa	Aa Aa		Aa	a a aN
-/A	Aa-a a a: ((A[0]-A[0])+A[0])-A[0]+	Aa	Aa Aa		Aa	a a a aN
/A	Aa a A (a-a)	Aa	Aa Aa		Aa	a a a   a aN
/Aa	Aa a a a a Aa	Aa	Aa Aa		Aa	a aN
/Aa	Aa a a a a Aa	Aa	Aa Aa		Aa	a a aN
/A	Aa a a? (a-a)	Aa	Aa Aa		Aa/Aa	a? a a  a a a a?N
/Aa	Aa a a?	Aa	Aa Aa		Aa/Aa	a  a a-0 a0 aN
/A	Aa a A	Aa	Aa Aa		Aa	aN
/A	Aa a A	Aa	Aa Aa		Aa	aN
/A	Aa a a A	Aa	Aa Aa		Aa	N
/A	Aa Aa	Aa	Aa Aa		Aa/Aa	N
0/A	Aa a a 0 (a a a a-a a)	Aa	Aa Aa		Aa	a a 0-a 0a a0 a a a a-a-aN
A	Aa: Aa a a-a a a a a a A	Aa	Aa Aa	Aa	Aa	a a a a a a a 0aN
A	Aa: Aa a a-a a a a a a A	Aa	Aa Aa	Aa	Aa	a a a a a a a 0aN
+A	Aa a A (a-a)	Aa	Aa Aa		Aa	a a a a   a aN
-A	Aa-a a a: ((A[0]-A[0])+A[0])-A[0]+	Aa	Aa Aa		Aa	a a a aN
A	Aa a A (a-a)	Aa	Aa Aa		Aa	a a a   a aN
0A	Aa a a a a	Aa	Aa Aa		Aa	a 0aN
0,A	Aa a a a 0a	Aa	Aa Aa		Aa	a a aN
,A	Aa a a a a a a	Aa	Aa Aa		Aa	a a a a a a a a a a aN
A,A	Aa a a	Aa	Aa Aa		Aa	a a a aN
,/Aa	Aa: Aa a a a a a Aa (a a a a a 0) a a a a a	Aa	Aa Aa	Aa	Aa	a a a a a a a a a aN
Aa,/Aa	Aa a a a a Aa (Aa a a a)	Aa	Aa Aa		Aa	a-a a a-a a a-a a a-a a aN
0A	Aa a a a 0a	Aa	Aa Aa		Aa	a a aN
/Aa	Aa: Aa a a a a a Aa (a a a a a 0) a a a a a	Aa	Aa Aa	Aa	Aa	a a a a a a a a a a a a 0aN
0A	Aa: Aa a a a A	Aa	Aa Aa		Aa	A[0;] A[0;] A[0] A[0] a a a 0a a aN
0A	Aa Aa	Aa	Aa Aa		Aa/Aa	a aN
0A	Aa	Aa	Aa Aa		Aa/Aa	a a a N
A aA	Aa: a Aa a a	Aa	Aa Aa	Aa Aa	Aa Aa	a a() a a a-aN
aA	Aa: a a a a	Aa	Aa Aa	Aa Aa	Aa Aa	a a() a a a-aN
+\A	Aa a	Aa	Aa Aa		Aa	aN
\A	Aa a a a a a	Aa	Aa Aa		Aa/Aa	0 a a 0aN
\A	Aa a a (a a a a a a a)	Aa	Aa Aa		Aa/Aa	a 0a a a 0a a aN
\A	Aa a a a a a	Aa	Aa Aa		Aa/Aa	0 a a 0aN
\A	Aa a (a-a)	Aa	Aa Aa		Aa	a a a a aN
\A	Aa a (a-a)	Aa	Aa Aa		Aa	a a a a aN
<\A	Aa a a a a a	Aa	Aa Aa		Aa/Aa	0a a a a 0aN
\A	Aa a a a a a	Aa	Aa Aa		Aa/Aa	0 a a 0aN
\A	Aa a a (a a a a a a a)	Aa	Aa Aa		Aa/Aa	a 0a a a 0aN
\A	Aa a Aa a a a	Aa	Aa Aa		Aa/Aa	a-0 a0N
\A	Aa: Aa a a a a	Aa	Aa Aa		Aa	0a a a aN
A	Aa a (a-a)	Aa	Aa Aa		Aa	a a a a aN
A	Aa a (a-a)	Aa	Aa Aa		Aa	a a a a aN
0 0Aa	Aa a a a	Aa	Aa Aa		Aa	aN
Aa	Aa a a a	Aa	Aa Aa		Aa/Aa	0a a a a aN
0A	Aa a a a a a	Aa	Aa Aa		Aa	a aN
0Aa	Aa  a A A A a a A a	Aa	Aa Aa		Aa	aN
0Aa	Aa a a a a Aa	Aa	Aa Aa		Aa/Aa	aN
0 0A	Aa a a a a a a	Aa	Aa Aa		Aa	a a a aN
0 0 0Aa	Aa a A a a a	Aa	Aa Aa		Aa	a a aN
aA	Aa-a a	Aa	Aa Aa	Aa Aa	Aa	a a a a a-aN
a,A	Aa: 'a' a a a a a a A a a a a a	Aa	Aa Aa	Aa	Aa	a a a a a a a a a aN
aA	Aa: 'a' a a a a a a A a a a a a	Aa	Aa Aa	Aa	Aa	a a a a a a a a a a 0aN
{0}A	Aa: 0 a a A	Aa	Aa Aa	Aa	Aa/Aa	a a a a a aN
+-A	Aa a a (a a)	Aa	Aa Aa		Aa	N
-+A	Aa a A a a-a	Aa	Aa Aa		Aa/Aa	aN
Aa	Aa 0	Aa	Aa Aa		Aa	a a a a-a aN
A	Aa: a A A a a a 0	Aa	Aa Aa		Aa	N
Aa/Aa	Aa a Aa a, a a a Aa	Aa	Aa Aa		Aa	a aN
A	Aa a a a (a-a) a A[0;0;0]	Aa	Aa Aa		Aa	a a-a a a a-a A a a 0aN
AaAa	Aa a a: Aa a a Aa	Aa	Aa Aa		Aa	aN
Aa	Aa a a a a Aa	Aa	Aa Aa		Aa Aa	a a aN
,Aa	Aa a a a a a Aa (a a Aa)	Aa	Aa Aa		Aa Aa	a a a aN
Aa	Aa a a a a a Aa a a a a A	Aa	Aa Aa		Aa Aa	a a a a 0aN
AaAa	Aa Aa a a 0Aa?	Aa	Aa Aa		Aa	a? a? aN
Aa	Aa a a a Aa a a a a A (a a Aa)	Aa	Aa Aa		Aa/Aa	a 0a a a a a a-0 a0N
A a0A	Aa: a Aa a a	Aa	Aa Aa	Aa Aa	Aa Aa	a a() a a a-aN
a0A	Aa: a a a a	Aa	Aa Aa	Aa Aa	Aa Aa	a a() a a a-aN
A	Aa a a a a A	Aa	Aa Aa		Aa Aa	a aN
[0]Aa	Aa a a a a	Aa	Aa Aa		Aa	a a-a a a a aN
+Aa	Aa Aa	Aa	Aa Aa		Aa	a-a a A A^A A A^ A A^A A A^N
Aa	Aa 0 a	Aa	Aa Aa		Aa	a a a -0 0 a-a aN
Aa	Aa 0 a-a	Aa	Aa Aa		Aa	a a a -0 0 a-a a aN
Aa	Aa a a a a a a a a	Aa	Aa Aa		Aa	a a a 0a aN
Aa	Aa a Aa a a a-a a	Aa	Aa Aa		Aa	0-a a aN
A+.A	Aa/Aa/Aa/Aa Aa a A a A (0A  0A)	Aa	Aa Aa		Aa	a a a    a aN
A-.A	Aa Aa Aa a A a A (0A  0A)	Aa	Aa Aa		Aa	N
Aa.Aa	Aa a a a a	Aa	Aa Aa		Aa/Aa	a a-0 a0N
Aa.Aa	Aa a Aa a a Aa	Aa	Aa Aa		Aa	a a aN
Aa.+Aa	Aa a a a a a a	Aa	Aa Aa		Aa	a aN
Aa.Aa	Aa a Aa a a Aa	Aa	Aa Aa		Aa	a aN
Aa-.Aa	Aa a a a a AaAa	Aa	Aa Aa		Aa	aN
Aa+.=Aa	Aa a a (a a) a a a	Aa	Aa Aa		Aa	a a aN
A.=Aa	Aa a Aa a a a a A	Aa	Aa Aa		Aa	aN
Aa.=Aa	Aa a a Aa a a a a Aa	Aa	Aa Aa		Aa	a a a a-0 a0N
Aa.*A	Aa a a a Aa a a A	Aa	Aa Aa		Aa	a-aN
Aa.+Aa	Aa Aa a Aa a a Aa a	Aa	Aa Aa		Aa	a a a aN
Aa.Aa	Aa Aa aAa a a Aa a	Aa	Aa Aa		Aa	a a a aN
A,.A	Aa a a A a A	Aa	Aa Aa		Aa	aN
A.,A	Aa a: a a a A a A	Aa	Aa Aa		Aa	N
AaAa	Aa a Aa-a a a a Aa	Aa	Aa Aa		Aa	N
Aa	Aa a a a a a a (a)	Aa	Aa Aa		Aa Aa	a aN
{0}A	Aa: 0 a a a a a A	Aa	Aa Aa	Aa	Aa/Aa	a a a a a a 0a a a a a aN
A(a0)A	Aa a a a	Aa	Aa	Aa Aa	Aa Aa	aN
Aa(a0 0)Aa	Aa a a a Aa a a a a Aa	Aa	Aa Aa		Aa Aa	a a a a a a-a a a a a aN
Aa(a0)Aa	Aa a a a Aa a a a a Aa	Aa	Aa Aa		Aa Aa	a a a a a a-a a a a aN
Aa(@0)A	Aa a a a a A a Aa	Aa	Aa Aa	Aa Aa	Aa	a a a a a 0a a aN
A(a0)A	Aa: a A a a A  A a A	Aa	Aa Aa	Aa Aa	Aa Aa	a(a,a) a(a,a) a(a,a) a aN
(a0)A	Aa: a A a a A  a A	Aa	Aa Aa	Aa Aa	Aa Aa	a(a) a(a) a(a) a aN
AaAa	Aa a Aa a a a a Aa	Aa	Aa Aa		Aa	a a aN
|A	Aa a a a	Aa	Aa Aa		Aa	aN
?A	Aa Aa a a A	Aa	Aa Aa		Aa Aa	a a a a aN
AaAa	Aa a a Aa a a a (a ,) a Aa	Aa	Aa Aa		Aa	a a a a-a a aN
A*A	A'a Aa a A	Aa	Aa Aa		Aa	a    N
A*~A	Aa a a a a A a a a a A	Aa	Aa Aa		Aa	0 a aN
A a A	Aa-Aa: a a a (a A) a (a A), a a (a A) a (a A)	Aa	Aa Aa		Aa	a a (aA)a(aA) (aA)aAN
+/A	Aa a a a A	Aa	Aa Aa		Aa	a aN
A@Aa	Aa Aa a A a a Aa (Aa'a a a 0a a A)	Aa	Aa Aa		Aa	a a a a a a a-0 a0N
/,A	Aa a a?	Aa	Aa Aa		Aa/Aa	a a a  N
/,A	Aa a a?	Aa	Aa Aa		Aa/Aa	a a  N
A	Aa: Aa a a a a a a a a a A	Aa	Aa Aa	Aa	Aa Aa	a a a a a a a 0aN
0Aa	Aa a a a a a Aa a a a	Aa	Aa Aa		Aa	a a aN
A	Aa a a a	Aa	Aa Aa		Aa	aN
A	Aa a a A a a A	Aa	Aa Aa		Aa	a a aN
AaAa	Aa a a a a a a AaAaA	Aa	Aa Aa		Aa	a aN
A	Aa a a A a A	Aa	Aa Aa		Aa Aa	a a a aN
Aa	Aa a Aa a a a a a a A	Aa	Aa Aa		Aa Aa	a a a a a aN
+\A	Aa a a a a A	Aa	Aa Aa		Aa	a aN
+\Aa	Aa Aa a a	Aa	Aa Aa		Aa	aA0 aA0 0aN
-\Aa	Aa a (0,-0,0,-0, ) a a Aa	Aa	Aa Aa		Aa	aA0 aA0N
0Aa	Aa a a a a a	Aa	Aa Aa		Aa	a a aN
A	Aa a a a a a a a	Aa	Aa Aa		Aa	a a a a a a aN
+.Aa	Aa a a a Aa	Aa	Aa Aa		Aa	a a a(a^0) Aa aN
Aa+.Aa	Aa a a a Aa a a Aa	Aa	Aa Aa		Aa	N
Aa.A	Aa a a A a a a a Aa?	Aa	Aa Aa		Aa	a a a aN
Aa,[0.0]Aa	Aa-a a a a a (a a)	Aa	Aa Aa		Aa	a aN
AaAa	Aa a a a Aa a a a a a(a) Aa	Aa	Aa Aa		Aa	a a a aN
Aa Aa 	A-a a a A a	Aa	Aa Aa		Aa	a a a aN
A(0+-)A	Aa a a	Aa	Aa Aa		Aa	a a a-a aN
A(-)A	Aa a a (0:A a a, 0:A=A, 0:A a a)	Aa	Aa Aa		Aa	a a() <=> >-<N
A(0-)A	Aa A	Aa	Aa Aa		Aa	a a a a a a Aa N
Aa(0)Aa	Aa Aa a a a 0AaAa	Aa	Aa Aa		Aa	a a a 0N
A(0+|)A	Aa a a A a a a A	Aa	Aa Aa		Aa	N
A(|-)A	Aa a a A a A	Aa	Aa Aa		Aa	a aN
(0||)A	Aa a a a a A	Aa	Aa Aa		Aa	aN
A(0=)A	Aa A a A a-a?	Aa	Aa Aa		Aa	a? a a aN
A(0=|)A	Aa A a A?	Aa	Aa Aa		Aa	a a a a N
A(0|)A	Aa A a a A?	Aa	Aa Aa		Aa	a a a  aN
(0)A	Aa A a Aa Aa?	Aa	Aa Aa		Aa Aa	a a? a? a?N
(0=)A	Aa A a Aa Aa?	Aa	Aa Aa		Aa Aa	a a?N
(0>)A	Aa A a Aa-Aa Aa?	Aa	Aa Aa		Aa Aa	a a? a? a? a?N
Aa(?)Aa	Aa Aa a a a Aa a a	Aa	Aa Aa		Aa	a a aN
()A	Aa A a Aa?	Aa	Aa Aa		Aa Aa	aN
()A	Aa (a a a) a A	Aa	Aa Aa		Aa Aa	a a a  aN
(0)A	Aa a a a	Aa	Aa Aa		Aa Aa	a a a aN
(0)A	Aa a a a	Aa	Aa Aa		Aa Aa	a a a aN
(0+)A	Aa a a a	Aa	Aa Aa		Aa	N
A()A	Aa a a a a A a a A (a a)	Aa	Aa Aa		Aa/Aa	a aN
(0)A	Aa a a a a A	Aa	Aa Aa		Aa/Aa	a aN
A(0)A	Aa a a a a a A a a A	Aa	Aa Aa		Aa/Aa	aN
(0)A	Aa	Aa	Aa Aa		Aa/Aa	a a() a() a() a() aN
(0)A	Aa	Aa	Aa Aa		Aa/Aa	a a() a() aN
(0)A	Aa	Aa	Aa Aa		Aa/Aa	a a() a() a() a() a() a() a() a() a() a() a() aN
(0)A	Aa a a	Aa	Aa Aa		Aa/Aa	a a() a^-0() a() a() a^-0() a() a() a() a() a() aN
(0)A	Aa a a	Aa	Aa Aa		Aa/Aa	a a() a^-0() a() a() a() aN
(0)A	Aa a a	Aa	Aa Aa		Aa/Aa	a a() a() a^-0() a() a() a^-0() a() a() a^-0() a() a() a^-0() a() a() a() a() a() a() a() a() a() aN
(-0)A	Aa	Aa	Aa Aa		Aa	a aN
(0-)A	Aa a (A)	Aa	Aa Aa		Aa	a a a a a a  a aN
(0)A	Aa a a a A	Aa	Aa Aa		Aa	a aN
(0)A	Aa: A0	Aa	Aa Aa		Aa	aN
(0)Aa	Aa a a a a a (a a)	Aa	Aa Aa		Aa	a a 0a a a a aN
(0)Aa	Aa a a a a a (a a)	Aa	Aa Aa		Aa	a a a a aN
(*0)A	Aa	Aa	Aa Aa		Aa	 ^0N
(,0)A	Aa a a a 0a	Aa	Aa Aa		Aa	a a aN
Aa(,0)Aa	Aa-a a a a a (a a)	Aa	Aa Aa		Aa	a aN
Aa(,0)Aa	Aa a a a a a a	Aa	Aa Aa		Aa	a a a aN
Aa(,0)Aa	Aa a a a a a a	Aa	Aa Aa		Aa	a a a aN
(,0)A	Aa a a a a a a	Aa	Aa Aa		Aa	a AaAa a a a aN
(0)A	Aa a a a 0a	Aa	Aa Aa		Aa	a a aN
Aa()Aa	Aa a a a Aa a a a Aa (a A0, a Aa:0)	Aa	Aa Aa		Aa	a a aN
Aa()Aa	A-a (a 0) a a	Aa	Aa Aa		Aa	a a a-a aN
Aa()Aa	Aa a a a a (a A=0)	Aa	Aa Aa		Aa	Aa aN
()Aa	Aa a a a a Aa	Aa	Aa Aa		Aa	a a aN
(0 0)A	A a a	Aa	Aa Aa		Aa	aN
(0 0)A	A a a	Aa	Aa Aa		Aa	aN
(0 0)A	Aa a a a a-a a a a a a a a	Aa	Aa Aa		Aa Aa	a a a() a() a a a a a aN
(0 0)A	Aa a a a a-a a a a a a a a	Aa	Aa Aa		Aa Aa	a a() a() a a a a aN
Aa(0)A	Aa a a a A a a a Aa (a A0, a Aa:0)	Aa	Aa Aa		Aa	a aN
(0)A	Aa: Aa a a	Aa	Aa Aa		Aa	A[-0;] A[-0;] A[-0] A[-0] A[0;] A[0;] A[0] A[0] a a a aN
(0+)Aa	Aa Aa a	Aa	Aa Aa		Aa	a a a 0aN
()A	Aa a Aa Aa a A	Aa	Aa Aa		Aa Aa	a a a a aN
()A	Aa a a a A	Aa	Aa Aa		Aa Aa	N
(0)A	Aa a a 0 a A	Aa	Aa Aa		Aa Aa	a a a a a a 0aN
A(0)A	Aa a a a A a a a a A (A[a;]A[a;])	Aa	Aa Aa		Aa Aa	a a a a a a a-a a a a a aN
Aa(,)Aa	Aa a a a a Aa a Aa	Aa	Aa Aa		Aa Aa	a a a aN
(0)A	Aa A a Aa Aa?	Aa	Aa Aa		Aa	a a? a? a?N
A(~)A	Aa a a A a a a a A	Aa	Aa Aa		Aa	a a a a'a a a  a a a a-0 a0N
()A	Aa, a a a a	Aa	Aa Aa		Aa/Aa	a a 0a a aN
A(0)A	Aa a a A a a a a a A (A  A)	Aa	Aa Aa		Aa	a a a a a a a aN
A(0=)A	Aa A a a a [ 0A , 0A )	Aa	Aa Aa		Aa	a A< A< a a a a?N
A(0)A	Aa A a a a [ 0A , 0A )	Aa	Aa Aa		Aa	a >A >A a a a a?N
()A	Aa a a	Aa	Aa Aa		Aa/Aa	+/, +, a a a a a 0a a aN
()A	Aa a a a a a A	Aa	Aa Aa		Aa Aa	0aN
A()A	Aa a a a a a a A a A	Aa	Aa Aa		Aa Aa	a a a a a a a aN
()A	Aa a Aa	Aa	Aa Aa		Aa	a a a a a a a a aN
A()A	Aa a a A a a a A	Aa	Aa Aa		Aa Aa	a a a aN
()A	Aa a a (a, a a)	Aa	Aa Aa		Aa Aa	a aN
()A	Aa a Aa	Aa	Aa Aa		Aa	a a a a a a a a a aN
